# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;59;1416278977;5426644;259097780;97.95;472816;48238512;214893404;78.74
axle;59;1416279037;4446376;260078048;98.32;472876;48267228;215860156;79.10
axle;60;1416279097;7011344;257513080;97.35;472968;48308488;213174680;78.11
axle;60;1416279157;4949128;259575296;98.13;473052;48351636;215307900;78.89
axle;59;1416279217;5245756;259278668;98.02;473156;48365952;214917704;78.75
axle;60;1416279277;7204072;257320352;97.28;469308;45954168;215366380;78.91
axle;60;1416279337;8432616;256091808;96.81;469376;46003640;214178440;78.48
axle;59;1416279397;5579876;258944548;97.89;469464;46020208;217170996;79.58
axle;60;1416279457;7117460;257406964;97.31;469556;46794704;214673152;78.66
axle;59;1416279517;7922332;256602092;97.01;469632;46091576;214599420;78.63
axle;60;1416279577;6668676;257855748;97.48;469692;46123700;215847808;79.09
axle;60;1416279637;7229016;257295408;97.27;469776;46152264;215204956;78.86
axle;59;1416279697;7311752;257212672;97.24;469880;46183888;215126740;78.83
axle;60;1416279757;3105132;261419292;98.83;469972;47086028;218380380;80.02
axle;59;1416279817;4098812;260425612;98.45;470048;46262472;218151840;79.94
axle;60;1416279877;14572128;249952296;94.49;470108;46270148;207816904;76.15
